epoch,blockNumber,strikeIndex,strike,amount,txType,premium,purchaseFee,netPnl,collateralTokenWithdrawAmount,rewardTokenWithdrawAmounts_DPX,rewardTokenWithdrawAmounts_JONES
5,27935850,1,26000000000,1000000000000000000,0,0,0,0,1022771986311711136,2214237305982548,553559326495620900
5,28054693,3,35000000000,9082000000000000000,0,0,0,0,9082000000000000000,16964068573595328,4241017143398424327
5,28099140,0,22500000000,2500000000000000000,0,0,0,0,2484319349379360125,4208588455911292,1052147113977665410
5,28175062,2,29000000000,50000000000000000000,0,0,0,0,50000000000000000000,72798341971516700,18199585492874900000
5,28175491,3,35000000000,50000000000000000000,0,0,0,0,50000000000000000000,72755996869329050,18188999217327981200
5,28322625,1,26000000000,41434000000000000000,1,921069377661621652,56887499961075854,0,0,0,0
5,28510762,1,26000000000,25000000000000000,0,0,0,0,25000000000000000,16340604008585,4085151002142316
5,28535616,3,35000000000,37628000000000000000,0,0,0,0,37628000000000000000,22892914077211181,5723228519296444373
5,28732235,3,35000000000,40000000000000000000,0,0,0,0,40000000000000000000,8518187064427960,2129546766098683840
6,28847413,3,38000000000,52210000000000000000,0,0,0,0,52210000000000000000,154125771953827537,38531442988459256866
6,28854723,3,38000000000,10000000000000000000,0,0,0,0,10000000000000000000,28759379519522740,7189844879881091270
6,28855441,2,32000000000,10000000000000000000,0,0,0,0,10000000000000000000,28697883681632150,7174470920408438320
6,28860697,0,26000000000,25000000000000000000,0,0,0,0,25544848711312096187,71138555926867846,17784638981717843160
6,28860780,1,29000000000,15000000000000000000,0,0,0,0,15010939233209589256,42444019546445532,10611004886611938763
6,28871235,2,32000000000,953000000000000000,0,0,0,0,953000000000000000,2645445312765276,661361328191351367
6,28874652,3,38000000000,150000000000000000000,0,0,0,0,150000000000000000000,413750509605154050,103437627401293386900
6,28877196,1,29000000000,3580000000000000000,0,0,0,0,3581881573083315626,9854618590338587,2463654647584761088
6,28879233,1,29000000000,5600000000000000000,0,0,0,0,5603145019530600602,15389617888951181,3847404472237972227
6,28880910,1,29000000000,1000000000000000000,0,0,0,0,1000479558576111450,2744976781831028,686244195457788262
6,28906960,2,32000000000,1792000000000000000,0,0,0,0,1792000000000000000,4833125323274450,1208281330818663288
6,28908900,0,26000000000,5000000000000000000,0,0,0,0,5072062811549329144,13517820172110916,3379455043027860966
6,28910002,3,38000000000,9100000000000000000,0,0,0,0,9100000000000000000,24486470429102372,6121617607275843108
6,28915999,3,38000000000,9426000000000000000,0,0,0,0,9426000000000000000,25244399375421785,6311099843855697334
6,28942392,3,38000000000,1000000000000000000,0,0,0,0,1000000000000000000,2609168066456163,652292016614063056
6,28946014,1,29000000000,249000000000000000,0,0,0,0,249116074509158107,646905224509030,161726306127262951
6,28996075,2,32000000000,891000000000000000,0,0,0,0,891000000000000000,2160928292983389,540232073245856921
6,29098148,2,32000000000,1000000000000000000,0,0,0,0,1000000000000000000,2228762861833626,557190715458404844
6,29098484,2,32000000000,19000000000000000000,0,0,0,0,19000000000000000000,42334087173422098,10583521793355491383
6,29098644,3,38000000000,26939241920000000000,0,0,0,0,26939241920000000000,60016775717478006,15004193929369450804
6,29160221,0,26000000000,4000000000000000000,0,0,0,0,4056173971860133122,8379569450099978,2094892362524945330
6,29198236,0,26000000000,1000000000000000,0,0,0,0,1012567584810504,1970505156303,492626289076065
6,29221612,0,26000000000,23000000000000000,0,0,0,0,23289241200348644,44232113971554,11058028492888104
6,29230747,0,26000000000,100000000000000,0,0,0,0,101256725265898,190399101458,47599775364675
6,29324309,0,26000000000,2000000000000000,0,0,0,0,2025135907819267,3395942911121,848985727780306
