index,epoch,blockNumber,strikeIndex,amount,txType
486,9,34575790,0,0.0001,0
487,9,34608017,3,7.104580654572598,0
488,9,34609704,3,1.4611901578078228,0
489,9,34637309,2,1.0,1
490,9,34664871,0,0.0001,0
491,9,34665261,0,0.0001,1
492,9,34705649,3,0.343,0
493,9,34705862,0,0.342,0
494,9,34724370,0,0.003000000000451439,0
496,9,34752488,2,0.11981400860767072,0
497,9,34852396,3,25.0,0
498,9,34890260,2,0.098,0
499,9,35035147,0,0.05,0
500,9,35102600,2,2.2,0
